"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 01","106.88","106.67","107.11","106.61","","0.21%"
"2023- 10- 31","106.66","106.16","106.86","105.91","","0.51%"
"2023- 10- 30","106.12","106.58","106.70","106.06","","-0.41%"
"2023- 10- 27","106.56","106.58","106.80","106.32","","-0.04%"
"2023- 10- 26","106.60","106.58","106.89","106.53","","0.07%"
"2023- 10- 25","106.53","106.25","106.57","106.14","","0.24%"
"2023- 10- 24","106.27","105.61","106.32","105.36","","0.70%"
"2023- 10- 23","105.54","106.16","106.33","105.52","","-0.59%"
"2023- 10- 20","106.16","106.25","106.42","106.07","","-0.08%"
"2023- 10- 19","106.25","106.54","106.67","105.97","","-0.29%"
"2023- 10- 18","106.57","106.22","106.64","106.01","","0.30%"
"2023- 10- 17","106.25","106.26","106.53","106.02","","0.01%"
"2023- 10- 16","106.24","106.58","106.63","106.18","","-0.38%"
"2023- 10- 13","106.65","106.52","106.79","106.29","","0.05%"
"2023- 10- 12","106.60","105.67","106.60","105.54","","0.74%"
"2023- 10- 11","105.82","105.73","106.01","105.56","","0.00%"
"2023- 10- 10","105.82","106.03","106.25","105.66","","-0.24%"
"2023- 10- 09","106.08","106.10","106.60","106.02","","0.04%"
"2023- 10- 06","106.04","106.36","106.97","105.95","","-0.27%"
"2023- 10- 05","106.33","106.77","106.86","106.32","","-0.44%"
"2023- 10- 04","106.80","107.06","107.24","106.51","","-0.19%"
"2023- 10- 03","107.00","107.03","107.35","106.91","","0.09%"
"2023- 10- 02","106.90","106.17","107.03","106.04","","0.64%"
"2023- 09- 29","106.22","106.15","106.24","105.66","","0.00%"
"2023- 09- 28","106.22","106.68","106.75","106.02","","-0.41%"
"2023- 09- 27","106.67","106.22","106.84","106.17","","0.41%"
"2023- 09- 26","106.23","105.94","106.26","105.86","","0.22%"
"2023- 09- 25","106.00","105.57","106.10","105.52","","0.39%"
"2023- 09- 22","105.58","105.38","105.78","105.32","","0.21%"
"2023- 09- 21","105.36","105.44","105.74","105.28","","0.23%"
"2023- 09- 20","105.12","105.11","105.44","104.67","","-0.04%"
"2023- 09- 19","105.16","105.08","105.21","104.82","","-0.04%"
"2023- 09- 18","105.20","105.30","105.36","105.02","","-0.11%"
"2023- 09- 15","105.32","105.38","105.41","105.08","","-0.08%"
"2023- 09- 14","105.40","104.74","105.43","104.56","","0.61%"
"2023- 09- 13","104.77","104.58","104.97","104.51","","0.05%"
"2023- 09- 12","104.71","104.56","104.92","104.46","","0.14%"
"2023- 09- 11","104.57","105.06","104.94","104.42","","-0.50%"
"2023- 09- 08","105.09","105.06","105.10","104.66","","0.03%"
